datapk,mes,mes_nome,trimestre,semestre,ano
1,1,JAN,1,1,2000
2,2,FEV,1,1,2000
3,3,MAR,1,1,2000
4,4,ABR,2,1,2000
5,5,MAI,2,1,2000
6,6,JUN,2,1,2000
7,7,JUL,3,2,2000
8,8,AGO,3,2,2000
9,9,SET,3,2,2000
10,10,OUT,4,2,2000
11,11,NOV,4,2,2000
12,12,DEZ,4,2,2000
13,1,JAN,1,1,2001
14,2,FEV,1,1,2001
15,3,MAR,1,1,2001
16,4,ABR,2,1,2001
17,5,MAI,2,1,2001
18,6,JUN,2,1,2001
19,7,JUL,3,2,2001
20,8,AGO,3,2,2001
21,9,SET,3,2,2001
22,10,OUT,4,2,2001
23,11,NOV,4,2,2001
24,12,DEZ,4,2,2001
25,1,JAN,1,1,2002
26,2,FEV,1,1,2002
27,3,MAR,1,1,2002
28,4,ABR,2,1,2002
29,5,MAI,2,1,2002
30,6,JUN,2,1,2002
31,7,JUL,3,2,2002
32,8,AGO,3,2,2002
33,9,SET,3,2,2002
34,10,OUT,4,2,2002
35,11,NOV,4,2,2002
36,12,DEZ,4,2,2002
37,1,JAN,1,1,2003
38,2,FEV,1,1,2003
39,3,MAR,1,1,2003
40,4,ABR,2,1,2003
41,5,MAI,2,1,2003
42,6,JUN,2,1,2003
43,7,JUL,3,2,2003
44,8,AGO,3,2,2003
45,9,SET,3,2,2003
46,10,OUT,4,2,2003
47,11,NOV,4,2,2003
48,12,DEZ,4,2,2003
49,1,JAN,1,1,2004
50,2,FEV,1,1,2004
51,3,MAR,1,1,2004
52,4,ABR,2,1,2004
53,5,MAI,2,1,2004
54,6,JUN,2,1,2004
55,7,JUL,3,2,2004
56,8,AGO,3,2,2004
57,9,SET,3,2,2004
58,10,OUT,4,2,2004
59,11,NOV,4,2,2004
60,12,DEZ,4,2,2004
61,1,JAN,1,1,2005
62,2,FEV,1,1,2005
63,3,MAR,1,1,2005
64,4,ABR,2,1,2005
65,5,MAI,2,1,2005
66,6,JUN,2,1,2005
67,7,JUL,3,2,2005
68,8,AGO,3,2,2005
69,9,SET,3,2,2005
70,10,OUT,4,2,2005
71,11,NOV,4,2,2005
72,12,DEZ,4,2,2005
73,1,JAN,1,1,2006
74,2,FEV,1,1,2006
75,3,MAR,1,1,2006
