1;amapa;AP;Norte
2;para;PA;Norte
3;goias;GO;Centro-Oeste
4;distrito federal;DF;Centro-Oeste
5;rio grande do sul;RS;Sul
6;alagoas;AL;Nordeste
7;amazonas;AM;Norte
8;bahia;BA;Nordeste
9;paraiba;PB;Nordeste
10;tocantins;TO;Norte
11;roraima;RR;Norte
12;minas gerais;MG;Sudeste
13;piaui;PI;Nordeste
14;parana;PR;Sul
15;mato grosso do sul;MS;Centro-Oeste
16;sergipe;SE;Nordeste
17;acre;AC;Norte
18;maranhao;MA;Nordeste
19;rio de janeiro;RJ;Sudeste
20;pernambuco;PE;Nordeste
21;rio grande do norte;RN;Nordeste
22;ceara;CE;Nordeste
23;sao paulo;SP;Sudeste
24;mato grosso;MT;Centro-Oeste
25;rondonia;RO;Norte
26;santa catarina;SC;Sul
27;espirito santo;ES;Sudeste
