Ano;Mês;Países;"UF do Produto";"Código NCM";"Descrição NCM";"Valor FOB (US$)";"Quantidade Estatística"
2021;12;Alemanha;Maranhão;27101921;"Gasóleo (óleo diesel)";16696757;28738
2021;12;Argentina;"Rio Grande do Sul";27111910;"Gás liquefeito de petróleo (glp)";3674565;5785626
2021;12;Argentina;"São Paulo";27111910;"Gás liquefeito de petróleo (glp)";16349;23190
2021;12;Barein;Ceará;27101921;"Gasóleo (óleo diesel)";24582524;48837
2021;12;Barein;Paraná;27101921;"Gasóleo (óleo diesel)";12240616;23000
2021;12;Bélgica;Maranhão;27101259;"Outras gasolinas, exceto para aviação";3329001;6094
2021;12;Bélgica;Pará;27101259;"Outras gasolinas, exceto para aviação";6421948;10490
2021;12;Bélgica;Pará;27101921;"Gasóleo (óleo diesel)";5852872;9337
2021;12;Bélgica;Paraná;27101921;"Gasóleo (óleo diesel)";29115001;49543
2021;12;Bolívia;"Mato Grosso do Sul";27111910;"Gás liquefeito de petróleo (glp)";1109764;2137540
2021;12;China;Ceará;27101921;"Gasóleo (óleo diesel)";11660941;23166
2021;12;"Emirados Árabes Unidos";Maranhão;27101921;"Gasóleo (óleo diesel)";39876426;66778
2021;12;"Emirados Árabes Unidos";Pernambuco;27101921;"Gasóleo (óleo diesel)";15566510;27458
2021;12;"Emirados Árabes Unidos";"São Paulo";27101921;"Gasóleo (óleo diesel)";2683040;4928
2021;12;"Estados Unidos";Amapá;27101921;"Gasóleo (óleo diesel)";17804249;31425
2021;12;"Estados Unidos";Amazonas;27101259;"Outras gasolinas, exceto para aviação";2911769;5114
2021;12;"Estados Unidos";Amazonas;27101921;"Gasóleo (óleo diesel)";6119448;10066
2021;12;"Estados Unidos";Bahia;27101921;"Gasóleo (óleo diesel)";7994959;13964
2021;12;"Estados Unidos";Ceará;27101921;"Gasóleo (óleo diesel)";42313717;69319
2021;12;"Estados Unidos";Maranhão;27101259;"Outras gasolinas, exceto para aviação";30556273;54875
2021;12;"Estados Unidos";Maranhão;27101921;"Gasóleo (óleo diesel)";65210215;113009
2021;12;"Estados Unidos";Pará;27101259;"Outras gasolinas, exceto para aviação";4101501;7226
2021;12;"Estados Unidos";Pará;27101921;"Gasóleo (óleo diesel)";8686184;14773
2021;12;"Estados Unidos";Paraná;27101259;"Outras gasolinas, exceto para aviação";13758122;26698
2021;12;"Estados Unidos";Paraná;27101921;"Gasóleo (óleo diesel)";105892639;183408
2021;12;"Estados Unidos";Pernambuco;27101921;"Gasóleo (óleo diesel)";23329867;42555
2021;12;"Estados Unidos";"Rio de Janeiro";27101921;"Gasóleo (óleo diesel)";13257720;20145
2021;12;"Estados Unidos";"São Paulo";27101259;"Outras gasolinas, exceto para aviação";2476676;5001
